,If,JoinedStr,AnnAssign,ExceptHandler,Is,Lambda,DictComp,Store,Set,Subscript,BinOp,Attribute,Mult,Module,NotIn,Mod,Expr,alias,Call,UnaryOp,Try,Assign,Load,ClassDef,And,Index,withitem,List,IsNot,Yield,Constant,Delete,BoolOp,IfExp,AugAssign,Name,Del,FunctionDef,Add,Compare,Eq,GtE,arguments,Slice,Or,Import,Tuple,Gt,Not,With,While,ListComp,In,Return,comprehension,FormattedValue,Dict,ImportFrom,Sub,Div,Starred,Continue,arg,Raise,Lt,LtE,NotEq,USub,FloorDiv,For,GeneratorExp,keyword
0,5.417985,8.4852705,-1.8509768,5.3330426,2.1355777,-1.4739801,-0.2216933,5.0759325,-1.2951638,-4.484714,-1.7288867,2.3583038,1.113836,1.2188038,-1.0069137,3.4173574,3.2342632,6.882375,7.2249203,-0.12619188,4.8121724,1.9276685,2.3597448,-0.79325104,3.006891,-2.627331,1.7732399,0.2645958,0.44391617,2.0562487,3.602022,3.4064765,0.5392287,3.2502759,1.7311487,-2.5271842,2.4803495,6.499055,-2.0943995,0.08486385,1.6504686,3.17957,-3.053614,-1.8025985,-1.4552777,1.207559,-4.444762,0.7878971,-1.872216,1.2775573,1.5748497,-0.18809643,2.6733057,3.7290082,0.9104847,4.7653294,4.528557,2.7231145,-1.7877824,0.44417462,-3.1406178,1.799163,3.8995159,2.714184,-0.30368328,0.3792131,-1.0484706,4.0326586,-0.47702524,0.45086244,4.183998,1.1289868
1,-11.61721,-9.753796,-11.856226,-14.313762,-10.520475,-6.154437,-4.9677467,-15.711217,-5.0803347,-6.517164,-18.071093,-8.5894575,-0.22400697,-9.2051735,-6.941981,-7.2394466,-14.818454,-21.444147,-12.426261,-14.217903,-14.5349455,-9.579201,-10.511946,-6.544569,-7.3481126,-9.953119,-0.55083495,-7.3327684,-5.4975843,-10.577824,-13.948758,-2.9049006,-15.48761,-10.798402,-9.319796,-8.864979,-1.4326342,-14.813871,-14.525418,-16.445997,-11.1114235,0.46470416,-13.160154,-13.4193,-8.019261,-14.761729,-2.5461805,-5.238903,-0.18166144,-2.5767457,-8.013841,-13.8702345,-10.415931,-12.755725,-12.7015,-10.254612,-8.119571,-12.254653,-9.89245,2.1802855,-1.6561459,-1.615111,-7.3004007,-11.416672,-3.7759356,3.0565777,-6.8397956,-10.465242,-0.73977464,-17.17795,-8.7543745,-8.061455
2,47.518715,45.99005,30.162521,33.9158,43.572693,25.23223,17.640635,37.453426,8.418545,30.559132,62.138737,30.955114,1.7494655,15.999824,15.846465,15.639078,36.077736,54.697754,37.541943,40.819145,48.430706,38.8011,30.974134,17.035454,30.50534,31.154697,-0.8550438,29.556093,29.9631,30.616379,47.693436,7.330677,45.938484,38.465786,24.481592,38.349335,1.5255061,42.071438,52.558285,49.558395,34.423077,6.8443737,31.16984,40.670605,37.649952,43.082447,26.847342,16.03067,0.648791,3.0499897,19.017885,44.313034,32.148567,30.62281,40.867172,45.983376,32.347076,36.89257,35.407276,3.3282008,-3.2446995,2.0508702,37.719654,33.629616,24.563051,3.8175707,15.54887,46.37445,5.32837,44.565292,15.616347,24.512215
3,-29.401031,-29.46791,-19.940866,-27.672476,-32.063488,-14.349212,-15.879992,-22.852253,-4.313381,-23.536726,-41.34067,-18.413155,1.2133113,-15.692681,-9.447671,-6.9761834,-17.701548,-40.280945,-26.901474,-28.723705,-29.656664,-24.973778,-14.483702,-10.302437,-16.405924,-18.63328,-1.0800993,-20.72957,-18.558693,-16.828712,-36.47204,-5.800006,-31.792572,-27.2008,-18.786186,-28.286156,3.0299013,-29.279078,-30.986809,-34.280884,-21.31548,-2.3553402,-33.0307,-24.476511,-21.487492,-30.753878,-19.827244,-11.556139,0.5084483,-1.2536753,-8.749251,-26.603767,-20.71652,-21.495285,-26.310698,-25.345701,-17.514256,-26.489937,-23.178673,3.0208182,-1.9065976,-2.5337608,-23.100197,-21.754168,-14.280787,2.115113,-6.5420613,-26.65081,-6.3372397,-29.045603,-10.933142,-12.004566
4,4.5780883,-1.032865,-1.4775997,-0.3165651,-0.9867577,-0.8882996,-1.0143764,0.8592423,1.0333158,1.9093709,-0.3862623,5.3662486,0.8608429,-1.7942605,-0.22668044,0.8232233,1.0580615,2.121992,4.6707506,3.1081493,3.9928288,0.7735022,-3.4105833,3.184035,4.200588,4.4158764,2.1855507,1.1737016,-0.69251287,2.3638334,1.619749,0.34574467,3.2630584,3.694447,3.6388066,1.5478288,1.0144074,1.3903759,-1.2502278,7.875438,0.24470107,0.25405508,-0.04484342,-0.110894665,5.0323052,3.613462,2.4185824,0.20129944,2.4508429,-0.43126073,3.223598,1.0643369,4.318071,3.6005764,-1.1582164,1.5475904,-1.5533024,2.8013685,-0.702267,-2.671787,1.354847,1.1642885,-0.8633759,1.80543,1.7229706,-2.0364978,-1.4352617,-2.0416894,-2.4622116,1.5215949,2.7813685,2.6642728
5,5.288809,7.535142,-0.6931769,6.3882327,7.070417,0.5998593,4.3155913,6.394862,1.9536535,0.21255296,8.889861,6.0021644,-1.7699648,2.07236,-1.1548408,-0.43347976,5.254817,4.13671,6.3436985,4.458012,7.222247,0.18184443,-1.7635896,-1.8166689,5.6017747,-2.061374,3.224162,2.5560117,1.5583441,4.2903886,7.19577,-0.38656363,5.3593044,1.7873853,0.6771976,2.42212,1.0462633,5.2634263,2.465098,5.6043243,5.837721,3.7885401,-4.607203,4.0027337,0.98906684,6.1733894,-0.80181605,2.8733103,-0.9111245,-2.5733237,3.9723449,4.2981515,3.6238632,8.732682,5.060943,9.807832,5.183224,3.8192437,0.06507611,2.1637948,2.880953,-3.107268,6.683351,6.662161,4.594605,3.4326448,4.3084855,5.9433327,2.5046039,2.398454,0.14049833,5.8785434
6,6.116301,2.327332,8.565161,9.206123,5.9450994,2.8089552,5.7535014,11.01722,-0.42169854,7.0513887,5.7539444,1.9207369,-1.5693672,0.9697417,5.5471315,0.84912926,6.6279745,9.84531,2.5991774,5.595634,6.547612,3.6400318,10.231645,3.2213233,1.3582338,9.572562,1.0177974,5.259208,2.934326,7.830881,7.680608,2.5621262,10.707353,5.8754506,3.4590707,7.3651567,1.3539425,10.832133,5.565319,11.558621,3.4466772,3.292739,3.0008063,9.614761,2.9651952,6.7463183,7.115469,4.714552,-0.02197504,-1.1095928,5.810439,10.517735,2.619752,9.276004,6.561417,2.4843533,6.2090597,9.1663265,3.2109265,-1.9049128,1.37055,-0.86810344,14.06233,8.835795,2.064359,2.0665743,5.395951,5.840833,0.5262994,7.50472,3.996759,4.669426
7,19.24927,11.150607,11.222572,12.004199,17.967384,10.085212,10.4749155,17.202549,-0.23335661,6.632153,21.719894,7.304305,1.436007,5.3745856,5.5921845,3.6797173,14.193326,24.25109,14.56436,15.106951,15.982315,9.197328,17.345879,4.7962065,7.9083657,14.300262,2.238588,11.554546,6.710099,13.082644,20.976938,5.11203,20.973925,12.119513,12.5936985,5.324024,-0.900406,15.889343,14.549966,14.7945795,10.214409,-1.1246678,7.56703,13.446236,15.500422,18.610365,12.365626,6.373211,-1.8425448,0.9763024,8.70863,15.4676075,9.820473,10.389088,12.29237,16.746185,12.8175125,15.611251,9.447806,-0.32385826,0.7961543,-3.0244,14.937632,10.57082,11.2823105,3.3074658,3.2420197,16.986645,-0.1283155,19.047447,9.4888315,8.318781
8,-38.011486,-40.688835,-26.400324,-27.924923,-37.21356,-21.330246,-13.327757,-30.473312,-9.194655,-21.313272,-46.018284,-22.737183,-1.969057,-16.993391,-10.579377,-10.1125965,-32.45469,-46.4635,-26.71088,-32.504795,-36.62652,-28.641737,-25.640741,-8.72932,-21.531502,-25.869543,-2.858697,-24.557693,-21.276245,-22.093039,-39.944748,-4.5024195,-37.01648,-32.684917,-19.612295,-24.593279,1.2749227,-35.39458,-43.340256,-42.60126,-28.397879,-6.174029,-30.170452,-33.015476,-25.280037,-25.39635,-17.323456,-15.725149,-0.3900218,-3.5590754,-11.971502,-35.601894,-25.801622,-32.536957,-28.006721,-33.60196,-24.114761,-23.213663,-27.184872,0.1609405,2.7149255,-0.52942276,-28.653893,-30.729462,-19.512943,-1.2363279,-14.757177,-32.585194,-4.9964733,-38.57357,-16.44154,-22.774729
9,-17.024923,-19.280592,-11.569368,-13.452406,-11.550507,-5.733567,-4.1336317,-9.087034,-2.710158,-13.686063,-16.661999,-6.078608,-0.060068764,-7.8115463,-3.6713853,-3.7676322,-9.852935,-20.439857,-6.926007,-13.348526,-13.860163,-14.223148,-10.51564,-7.5448503,-7.018566,-13.448125,-0.7566726,-11.35373,-10.169859,-11.17709,-15.026506,-5.815233,-16.360468,-16.26272,-6.5771832,-14.443978,0.112540714,-14.694841,-17.446445,-18.537338,-12.0751095,-2.3415825,-15.754567,-11.841468,-10.575538,-14.813963,-14.121885,-3.4939415,-2.5706546,-0.2585724,-3.014414,-10.962616,-10.653194,-6.3355064,-11.4899435,-9.608549,-8.615542,-8.780007,-11.394016,2.1939778,-0.37307024,-1.7882506,-13.421917,-7.230814,-9.382387,0.89696383,-1.6553494,-12.897585,0.32794675,-17.006065,-7.7697573,-6.680534
10,52.940388,55.558586,31.469627,41.63017,43.09565,23.984571,21.265581,37.534496,10.5583515,29.648453,64.23002,28.586763,-0.2111721,22.384329,12.162302,16.492485,40.36535,61.68964,43.072315,42.940685,49.62739,38.28455,35.923542,17.309942,31.817225,22.785803,-0.20506717,30.66882,29.347933,32.223846,56.92781,8.258676,53.30233,39.408607,24.834538,26.636494,1.8755707,47.69796,52.20109,52.06437,33.588673,7.178928,28.314573,41.83313,40.85003,36.591816,32.134365,21.017984,-0.31977654,8.544682,17.246243,47.078915,30.727282,40.185795,38.62146,49.73485,34.005222,31.296534,35.775208,1.4900478,-0.46590486,-1.31464,36.77173,43.54649,23.712584,3.0592802,18.43399,48.67811,7.386118,50.25252,17.045591,29.10918
11,-28.364956,-32.849155,-19.394941,-20.448486,-23.851425,-18.330204,-15.227161,-22.352783,-3.6224582,-17.376654,-37.12087,-16.601341,1.164414,-10.1145735,-7.695312,-4.853142,-20.665058,-39.371006,-22.53399,-28.310257,-26.256388,-23.59199,-19.507303,-10.256593,-14.991702,-18.407389,-0.49867272,-17.567923,-13.904396,-14.260801,-26.119085,-7.0163527,-31.148329,-26.351843,-16.185318,-17.733574,1.8324565,-26.194132,-33.197422,-31.28674,-16.74354,-4.927903,-22.758467,-20.89588,-22.604622,-25.680622,-13.856334,-8.735586,0.43655792,-5.9114513,-7.673902,-28.781717,-13.674366,-19.91164,-23.165127,-29.72324,-16.605911,-17.488691,-18.90926,1.5345756,-2.9156082,0.3845509,-26.33187,-24.156166,-10.766816,-1.7064018,-10.37996,-25.911251,-6.7783475,-29.282097,-12.086239,-16.708368
12,12.217171,18.482265,9.38102,10.238134,11.135492,4.8869357,6.785778,8.241591,3.0766737,8.585992,14.08934,9.254225,-2.8140886,8.026949,4.7421975,6.6315384,10.465601,19.054327,8.73142,13.244321,13.975646,10.101708,5.692722,1.8405203,10.094403,4.907403,-0.20068292,7.7564316,5.836264,7.744518,13.3519125,4.758896,9.950367,10.719897,8.804221,4.6554184,0.6097062,10.590827,16.004679,11.082549,7.9431453,2.044238,15.514172,11.554699,12.62847,5.984328,8.878509,6.4194736,-2.8649147,1.8690367,6.5525227,14.2589855,10.921213,12.541013,13.384043,15.215688,7.0945597,5.4354334,8.578723,3.161041,-0.041930676,0.93344927,3.500361,14.07648,3.865526,2.402204,1.8434101,11.508974,3.1509585,11.77543,5.4535007,4.763783
13,-18.666777,-27.224407,-15.088752,-18.723846,-22.37736,-9.243545,-9.522155,-19.126684,-2.3779328,-16.985027,-23.8875,-12.033562,2.939078,-6.8510904,-9.29866,-7.5911202,-20.157728,-23.968483,-19.797077,-20.29209,-25.23268,-16.037636,-10.849736,-8.488858,-15.057174,-16.64957,-1.919708,-15.89321,-15.97981,-13.783725,-27.788368,-1.8822514,-21.033836,-21.352924,-13.940554,-18.458433,1.9164689,-16.280056,-23.28354,-24.95064,-13.577543,-5.378171,-11.423726,-19.836777,-20.321701,-19.670763,-16.068935,-5.848499,2.9161947,-3.8410008,-9.371637,-19.65294,-15.903475,-18.12195,-15.055041,-25.02575,-16.674627,-17.077312,-16.924208,0.12755473,-0.8558575,-0.5087988,-15.299614,-14.8871975,-11.858898,0.4957682,-4.400518,-18.865685,-3.9805272,-22.585949,-5.235032,-15.036455
14,-10.108591,-8.755316,-5.5682244,-11.014653,-10.694383,-8.209113,-2.5810804,-8.15398,-1.9636713,-7.7319055,-12.157956,-3.548699,-0.48291525,-6.5322456,-1.624326,0.033848535,-4.2999024,-17.939629,-5.9443526,-13.870075,-11.648947,-8.889834,-9.70514,-4.459612,-4.24942,-2.6009479,-2.6823926,-4.9419208,-5.6062064,-8.492654,-9.654462,-3.4720063,-11.844418,-12.293139,-3.5286858,-6.260925,-2.9893599,-12.551898,-9.523901,-9.790067,-5.0551963,-0.44786352,-14.6201105,-9.080981,-11.511491,-12.120946,-2.8923235,-1.7353657,-3.0692887,-3.1249108,-1.2639338,-12.546857,-5.3090963,-4.730007,-6.6098223,-10.282884,-7.140793,-10.609773,-10.937114,-2.0129046,0.12869199,-2.7235055,-8.172749,-9.3413,-3.0693417,2.959213,-2.2287033,-12.374212,-5.199324,-11.810958,-2.059097,-8.114365
15,-13.501833,-5.828385,-11.391119,-8.579768,-12.969843,-9.326028,-5.053943,-9.095636,-0.87901735,-8.026501,-13.578055,-11.1905575,-1.7769758,-3.142611,-3.2185032,-4.0427694,-12.640789,-15.593502,-6.7417293,-10.700783,-15.902883,-10.749136,-10.098797,-5.2768493,-9.475612,-10.337453,2.7891855,-9.081289,-10.003248,-9.486152,-14.202525,-1.7445431,-14.18368,-14.001586,-4.2635164,-9.255677,2.1864526,-13.244942,-13.880333,-11.274165,-11.802382,-0.109059505,-14.093823,-10.888224,-12.7251,-14.971081,-8.751708,-5.743903,-3.2082255,0.5955493,-3.39397,-12.288089,-7.497876,-8.435313,-9.246917,-16.717117,-7.917416,-12.231211,-13.295117,-2.1100338,2.4265535,-1.9726746,-14.706527,-10.748797,-6.914095,-1.2080488,-1.6090102,-12.563163,0.48337784,-10.580629,-5.0036373,-9.168915
16,29.44365,28.697294,24.08532,27.486143,29.858324,16.094534,13.59293,32.35454,3.0814936,25.618258,38.439938,21.154549,1.3514892,11.205027,12.826427,11.454056,23.460752,47.444885,27.517689,29.299185,37.53412,30.045628,27.178251,9.418647,17.395506,24.606054,2.107699,22.254065,20.604843,24.069742,40.45234,4.4663815,35.348053,26.819798,19.088297,18.891214,3.0753303,35.84842,37.0295,37.340866,25.287903,5.931169,29.422443,29.730326,25.21054,28.106108,25.693556,16.455275,-2.837208,5.7994795,16.45799,32.35336,20.253817,25.501942,29.148575,29.55938,21.840992,22.271612,28.530476,2.1439297,-2.347154,0.27309814,24.891476,27.253908,15.06682,-0.52842873,8.432455,36.261917,3.496855,36.995655,13.919012,17.040897
17,8.697248,-0.39992225,5.554961,3.2151196,4.3673415,4.446198,4.816208,1.9501872,3.2650423,1.3543068,10.835295,7.8604183,-0.64516383,1.2992216,3.0244343,2.279624,5.659546,3.4875672,9.258986,1.6680154,7.414797,8.14361,2.6818511,-0.9365012,6.647538,4.7243104,-0.5858729,4.0650206,1.7545995,2.3309073,5.9558177,1.0529071,4.7007766,6.7293525,2.5435896,11.100757,-1.4023829,6.8691983,3.2894785,7.30014,5.424924,-0.40838617,-2.3158138,1.3213164,5.94825,5.0487165,-0.06530703,3.6100078,2.437756,-0.31721243,2.933059,7.6138883,0.15514997,2.8611393,4.2812424,10.805186,5.639254,0.9360634,2.1296482,-1.7475271,-1.315492,-1.3154197,0.9471666,4.115728,0.65545726,2.1542962,-1.732617,2.6398067,-0.7060243,2.7937374,5.068417,2.7032049
